Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     22/5    0.002    0.000    0.003    0.001 /usr/lib/python3.8/sre_parse.py:493(_parse)
     12/1    0.002    0.000  921.456  921.456 {built-in method builtins.exec}
     1020    0.002    0.000    0.012    0.000 <__array_function__ internals>:177(amin)
2073/1175    0.002    0.000    0.010    0.000 {built-in method builtins.hash}
    10956    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:832(get_animated)
      450    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:906(set_clip_path)
      199    0.002    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1791(__eq__)
      516    0.002    0.000    0.015    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:766(_unstale_viewLim)
      432    0.002    0.000    0.014    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:326(xmin)
      717    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:170(invalidate)
       11    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     1272    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:1304(<genexpr>)
       12    0.002    0.000    0.018    0.001 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2960(_update_title_position)
      138    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:126(_clip)
       20    0.002    0.000    0.036    0.002 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:57(__init__)
     1032    0.002    0.000    0.011    0.000 <__array_function__ internals>:177(amax)
       42    0.002    0.000    3.186    0.076 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/image.py:947(make_image)
     1424    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      680    0.002    0.000    0.059    0.000 <__array_function__ internals>:177(intersect1d)
       96    0.002    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/ticker.py:715(_compute_offset)
      176    0.001    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:514(update_position)
      240    0.001    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1620(transform_path_non_affine)
       18    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/files.py:115(make_fapl)
      366    0.001    0.000    0.001    0.000 {built-in method builtins.round}
      480    0.001    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:341(ymax)
       96    0.001    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/ticker.py:754(_set_order_of_magnitude)
