Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1290    0.003    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/colors.py:152(to_rgba)
     1283    0.000    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:1209(set_text)
     1283    0.001    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:242(convert_xunits)
     1272    0.002    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:1304(<genexpr>)
     1249    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     1239    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:254(convert_yunits)
     1232    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:727(get_family)
     1232    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:739(get_style)
     1232    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:746(get_variant)
     1232    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:752(get_weight)
     1232    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:761(get_stretch)
1184/1172    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:276(process)
     1174    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
     1149    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:826(<listcomp>)
     1149    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:823(clean)
     1147    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:876(<listcomp>)
     1147    0.005    0.000    0.008    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:872(get_siblings)
     1133    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:405(pchanged)
     1112    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:778(get_file)
     1110    0.009    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:710(__hash__)
     1110    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/font_manager.py:907(get_math_fontfamily)
     1053    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:148(concatenate)
     1053    0.002    0.000    0.016    0.000 <__array_function__ internals>:177(concatenate)
     1032    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2672(_amax_dispatcher)
     1032    0.002    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2677(amax)
     1032    0.002    0.000    0.011    0.000 <__array_function__ internals>:177(amax)
     1020    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2797(_amin_dispatcher)
     1020    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2802(amin)
     1020    0.002    0.000    0.012    0.000 <__array_function__ internals>:177(amin)
      985    0.005    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:767(__init__)
      978    0.004    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1692(<dictcomp>)
      978    0.006    0.000    0.011    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1653(normalize_kwargs)
      973    0.000    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:222(<lambda>)
  958/717    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:180(_invalidate_internal)
      948    0.001    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:1222(set_xdata)
      945    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      933    0.550    0.001    0.550    0.001 {built-in method numpy.zeros}
      922    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      922    0.000    0.000    0.003    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
      908    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:439(get_transform)
      876    0.003    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:826(get_unitless_position)
  858/774    0.001    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
      857    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      857    0.002    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1862(transform_affine)
      853    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1290(_to_unmasked_float_array)
      833    0.001    0.000    0.006    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1796(transform)
      816    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:1355(getmask)
      804    0.001    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:3423(shape)
      792    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2922(_prod_dispatcher)
      768    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/figure.py:2442(_set_dpi)
      768    0.004    0.000    0.053    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1480(transform)
      768    0.003    0.000    0.041    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2417(transform_affine)
      768    0.001    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2421(transform_non_affine)
      767    0.004    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
      744    0.000    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2258(get_affine)
      730    0.002    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:207(set_children)
      717    0.002    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:170(invalidate)
      716    0.001    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:1149(set_x)
      702    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/path.py:214(codes)
      699    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1761(_str_equal)
      690    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:935(set_foreground)
      680    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:368(_intersect1d_dispatcher)
      680    0.012    0.000    0.055    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:373(intersect1d)
      680    0.002    0.000    0.059    0.000 <__array_function__ internals>:177(intersect1d)
      680    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1008(_argsort_dispatcher)
      680    0.001    0.000    0.004    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1012(argsort)
      680    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(argsort)
      672    0.000    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2130(transform)
      672    0.003    0.000    0.014    0.000 <__array_function__ internals>:177(reshape)
      672    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
      672    0.002    0.000    0.009    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:198(reshape)
      669    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/_api/__init__.py:152(<genexpr>)
      666    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:604(get_gid)
      655    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      655    0.000    0.000    0.001    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2602(get_matrix)
      655    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
      648    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:1234(set_ydata)
      639    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      638    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      638    0.009    0.000    0.026    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:1046(update)
      624    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:177(open_group)
      624    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/backend_bases.py:184(close_group)
      611    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      587    0.001    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
      580    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/scale.py:116(get_transform)
      578    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x90b780}
      564    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:542(<genexpr>)
      540    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2688(get_matrix)
      532    0.001    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axis.py:752(get_transform)
      523    0.002    0.000    0.035    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:1159(set)
      523    0.001    0.000    0.036    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/artist.py:116(<lambda>)
      522    0.003    0.000    0.005    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2946(_update_from)
      516    0.003    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:769(<dictcomp>)
      516    0.002    0.000    0.015    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:766(_unstale_viewLim)
      516    0.001    0.000    0.003    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:1160(set_y)
      504    0.001    0.000    0.016    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:780(viewLim)
      504    0.003    0.000    0.013    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:275(_get_layout_cache_key)
      504    0.003    0.000    0.024    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/text.py:290(_get_layout)
      504    0.014    0.000    0.075    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/lines.py:724(draw)
      504    0.001    0.000    0.002    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2218(<lambda>)
      497    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
  492/396    0.002    0.000    0.004    0.000 {method 'view' of 'numpy.generic' objects}
      486    0.000    0.000    0.000    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/cm.py:551(norm)
      484    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      480    0.001    0.000    0.007    0.000 /home/vbundu/.local/lib/python3.8/site-packages/matplotlib/transforms.py:341(ymax)
      480    0.006    0.000    0.012    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/ma/core.py:2972(__array_finalize__)
